record1_id,record2_id,jaro_winkler_score,score_type,source
1,2,0.9971,jaro_winkler_score,fuzzy_matcher
3,4,0.9704,jaro_winkler_score,fuzzy_matcher
5,6,0.8632,jaro_winkler_score,fuzzy_matcher
7,8,1.0,jaro_winkler_score,fuzzy_matcher
9,10,1.0,jaro_winkler_score,fuzzy_matcher
9,231,0.845,jaro_winkler_score,fuzzy_matcher
10,231,0.845,jaro_winkler_score,fuzzy_matcher
11,12,1.0,jaro_winkler_score,fuzzy_matcher
13,14,1.0,jaro_winkler_score,fuzzy_matcher
13,245,0.8417,jaro_winkler_score,fuzzy_matcher
14,245,0.8417,jaro_winkler_score,fuzzy_matcher
15,16,0.8833,jaro_winkler_score,fuzzy_matcher
17,18,1.0,jaro_winkler_score,fuzzy_matcher
21,273,0.8345,jaro_winkler_score,fuzzy_matcher
25,26,0.9654,jaro_winkler_score,fuzzy_matcher
27,28,0.8396,jaro_winkler_score,fuzzy_matcher
27,236,0.8929,jaro_winkler_score,fuzzy_matcher
29,30,1.0,jaro_winkler_score,fuzzy_matcher
33,34,1.0,jaro_winkler_score,fuzzy_matcher
39,40,1.0,jaro_winkler_score,fuzzy_matcher
43,44,1.0,jaro_winkler_score,fuzzy_matcher
47,48,0.9744,jaro_winkler_score,fuzzy_matcher
49,50,0.9744,jaro_winkler_score,fuzzy_matcher
49,65,0.8386,jaro_winkler_score,fuzzy_matcher
50,66,0.8386,jaro_winkler_score,fuzzy_matcher
51,52,0.9744,jaro_winkler_score,fuzzy_matcher
53,54,0.9744,jaro_winkler_score,fuzzy_matcher
53,315,0.8815,jaro_winkler_score,fuzzy_matcher
53,332,0.8519,jaro_winkler_score,fuzzy_matcher
53,420,0.8477,jaro_winkler_score,fuzzy_matcher
54,315,0.8558,jaro_winkler_score,fuzzy_matcher
55,56,0.9744,jaro_winkler_score,fuzzy_matcher
55,316,0.8684,jaro_winkler_score,fuzzy_matcher
55,318,0.8462,jaro_winkler_score,fuzzy_matcher
55,325,0.8956,jaro_winkler_score,fuzzy_matcher
55,374,0.835,jaro_winkler_score,fuzzy_matcher
55,394,0.8342,jaro_winkler_score,fuzzy_matcher
55,402,0.8374,jaro_winkler_score,fuzzy_matcher
55,403,0.8346,jaro_winkler_score,fuzzy_matcher
55,430,0.8372,jaro_winkler_score,fuzzy_matcher
55,458,0.8357,jaro_winkler_score,fuzzy_matcher
56,86,0.836,jaro_winkler_score,fuzzy_matcher
56,316,0.8427,jaro_winkler_score,fuzzy_matcher
56,325,0.87,jaro_winkler_score,fuzzy_matcher
57,58,0.9288,jaro_winkler_score,fuzzy_matcher
57,347,0.8936,jaro_winkler_score,fuzzy_matcher
59,60,0.8565,jaro_winkler_score,fuzzy_matcher
59,95,0.847,jaro_winkler_score,fuzzy_matcher
59,465,0.8567,jaro_winkler_score,fuzzy_matcher
61,62,0.9378,jaro_winkler_score,fuzzy_matcher
63,64,0.9744,jaro_winkler_score,fuzzy_matcher
65,66,0.9744,jaro_winkler_score,fuzzy_matcher
66,721,0.8512,jaro_winkler_score,fuzzy_matcher
67,68,0.9744,jaro_winkler_score,fuzzy_matcher
67,351,0.8387,jaro_winkler_score,fuzzy_matcher
69,70,0.9425,jaro_winkler_score,fuzzy_matcher
69,735,0.8446,jaro_winkler_score,fuzzy_matcher
71,72,0.9744,jaro_winkler_score,fuzzy_matcher
72,74,0.8408,jaro_winkler_score,fuzzy_matcher
72,766,0.8547,jaro_winkler_score,fuzzy_matcher
73,74,0.9271,jaro_winkler_score,fuzzy_matcher
75,76,0.9744,jaro_winkler_score,fuzzy_matcher
75,87,0.8503,jaro_winkler_score,fuzzy_matcher
76,723,0.8465,jaro_winkler_score,fuzzy_matcher
77,78,0.9744,jaro_winkler_score,fuzzy_matcher
79,80,0.9744,jaro_winkler_score,fuzzy_matcher
79,394,0.8758,jaro_winkler_score,fuzzy_matcher
79,735,0.8409,jaro_winkler_score,fuzzy_matcher
80,82,0.8505,jaro_winkler_score,fuzzy_matcher
80,394,0.8501,jaro_winkler_score,fuzzy_matcher
80,735,0.8666,jaro_winkler_score,fuzzy_matcher
81,82,0.931,jaro_winkler_score,fuzzy_matcher
83,84,0.9744,jaro_winkler_score,fuzzy_matcher
83,86,0.8337,jaro_winkler_score,fuzzy_matcher
83,402,0.8843,jaro_winkler_score,fuzzy_matcher
83,403,0.8334,jaro_winkler_score,fuzzy_matcher
84,86,0.8594,jaro_winkler_score,fuzzy_matcher
84,402,0.8587,jaro_winkler_score,fuzzy_matcher
