name,address,city,phone,category,record_id
arnie morton's of chicago,435 s. la cienega blv.,los angeles,310/246-1501,american,1
arnie morton's of chicago,435 s. la cienega blvd.,los angeles,310-246-1501,steakhouses,2
art's delicatessen,12224 ventura blvd.,studio city,818/762-1221,american,3
art's deli,12224 ventura blvd.,studio city,818-762-1221,delis,4
hotel bel-air,701 stone canyon rd.,bel air,310/472-1211,californian,5
bel-air hotel,701 stone canyon rd.,bel air,310-472-1211,californian,6
cafe bizou,14016 ventura blvd.,sherman oaks,818/788-3536,french,7
cafe bizou,14016 ventura blvd.,sherman oaks,818-788-3536,french bistro,8
campanile,624 s. la brea ave.,los angeles,213/938-1447,american,9
campanile,624 s. la brea ave.,los angeles,213-938-1447,californian,10
chinois on main,2709 main st.,santa monica,310/392-9025,french,11
chinois on main,2709 main st.,santa monica,310-392-9025,pacific new wave,12
citrus,6703 melrose ave.,los angeles,213/857-0034,californian,13
citrus,6703 melrose ave.,los angeles,213-857-0034,californian,14
fenix,8358 sunset blvd. west,hollywood,213/848-6677,american,15
fenix at the argyle,8358 sunset blvd.,w. hollywood,213-848-6677,french (new),16
granita,23725 w. malibu rd.,malibu,310/456-0488,californian,17
granita,23725 w. malibu rd.,malibu,310-456-0488,californian,18
grill on the alley,9560 dayton way,los angeles,310/276-0615,american,19
grill  the,9560 dayton way,beverly hills,310-276-0615,american (traditional),20
restaurant katsu,1972 n. hillhurst ave.,los angeles,213/665-1891,asian,21
katsu,1972 hillhurst ave.,los feliz,213-665-1891,japanese,22
l'orangerie,903 n. la cienega blvd.,los angeles,310/652-9770,french,23
l'orangerie,903 n. la cienega blvd.,w. hollywood,310-652-9770,french (classic),24
le chardonnay,8284 melrose ave.,los angeles,213/655-8880,french,25
le chardonnay (los angeles),8284 melrose ave.,los angeles,213-655-8880,french bistro,26
locanda veneta,3rd st.,los angeles,310/274-1893,italian,27
locanda veneta,8638 w. third st.,los angeles,310-274-1893,italian,28
matsuhisa,129 n. la cienega blvd.,beverly hills,310/659-9639,asian,29
matsuhisa,129 n. la cienega blvd.,beverly hills,310-659-9639,seafood,30
the palm,9001 santa monica blvd.,los angeles,310/550-8811,american,31
palm  the (los angeles),9001 santa monica blvd.,w. hollywood,310-550-8811,steakhouses,32
patina,5955 melrose ave.,los angeles,213/467-1108,californian,33
patina,5955 melrose ave.,los angeles,213-467-1108,californian,34
philippe's the original,1001 n. alameda st.,los angeles,213/628-3781,american,35
philippe the original,1001 n. alameda st.,chinatown,213-628-3781,cafeterias,36
pinot bistro,12969 ventura blvd.,los angeles,818/990-0500,french,37
pinot bistro,12969 ventura blvd.,studio city,818-990-0500,french bistro,38
rex il ristorante,617 s. olive st.,los angeles,213/627-2300,italian,39
rex il ristorante,617 s. olive st.,los angeles,213-627-2300,nuova cucina italian,40
spago,1114 horn ave.,los angeles,310/652-4025,californian,41
spago (los angeles),8795 sunset blvd.,w. hollywood,310-652-4025,californian,42
valentino,3115 pico blvd.,santa monica,310/829-4313,italian,43
valentino,3115 pico blvd.,santa monica,310-829-4313,italian,44
yujean kang's gourmet chinese cuisine,67 n. raymond ave.,los angeles,818/585-0855,asian,45
yujean kang's,67 n. raymond ave.,pasadena,818-585-0855,chinese,46
21 club,21 w. 52nd st.,new york,212/582-7200,american,47
21 club,21 w. 52nd st.,new york city,212-582-7200,american (new),48
aquavit,13 w. 54th st.,new york,212/307-7311,continental,49
aquavit,13 w. 54th st.,new york city,212-307-7311,scandinavian,50
aureole,34 e. 61st st.,new york,212/ 319-1660,american,51
aureole,34 e. 61st st.,new york city,212-319-1660,american (new),52
cafe lalo,201 w. 83rd st.,new york,212/496-6031,coffee bar,53
cafe lalo,201 w. 83rd st.,new york city,212-496-6031,coffeehouses,54
cafe des artistes,1 w. 67th st.,new york,212/877-3500,continental,55
cafe des artistes,1 w. 67th st.,new york city,212-877-3500,french (classic),56
carmine's,2450 broadway  between 90th and 91st sts.,new york,212/362-2200,italian,57
carmine's,2450 broadway,new york city,212-362-2200,italian,58
carnegie deli,854 7th ave.  between 54th and 55th sts.,new york,212/757-2245,delicatessen,59
carnegie deli,854 seventh ave.,new york city,212-757-2245,delis,60
chanterelle,2 harrison st.  near hudson st.,new york,212/966-6960,american,61
chanterelle,2 harrison st.,new york city,212-966-6960,french (new),62
daniel,20 e. 76th st.,new york,212/288-0033,french,63
daniel,20 e. 76th st.,new york city,212-288-0033,french (new),64
dawat,210 e. 58th st.,new york,212/355-7555,asian,65
dawat,210 e. 58th st.,new york city,212-355-7555,indian,66
felidia,243 e. 58th st.,new york,212/758-1479,italian,67
felidia,243 e. 58th st.,new york city,212-758-1479,italian,68
four seasons grill room,99 e. 52nd st.,new york,212/754-9494,american,69
four seasons,99 e. 52nd st.,new york city,212-754-9494,american (new),70
gotham bar & grill,12 e. 12th st.,new york,212/620-4020,american,71
gotham bar & grill,12 e. 12th st.,new york city,212-620-4020,american (new),72
gramercy tavern,42 e. 20th st.  between park ave. s and broadway,new york,212/477-0777,american,73
gramercy tavern,42 e. 20th st.,new york city,212-477-0777,american (new),74
island spice,402 w. 44th st.,new york,212/765-1737,tel caribbean,75
island spice,402 w. 44th st.,new york city,212-765-1737,caribbean,76
jo jo,160 e. 64th st.,new york,212/223-5656,american,77
jo jo,160 e. 64th st.,new york city,212-223-5656,french bistro,78
la caravelle,33 w. 55th st.,new york,212/586-4252,french,79
la caravelle,33 w. 55th st.,new york city,212-586-4252,french (classic),80
la cote basque,60 w. 55th st.  between 5th and 6th ave.,new york,212/688-6525,french,81
la cote basque,60 w. 55th st.,new york city,212-688-6525,french (classic),82
le bernardin,155 w. 51st st.,new york,212/489-1515,french,83
le bernardin,155 w. 51st st.,new york city,212-489-1515,seafood,84
les celebrites,160 central park s,new york,212/484-5113,french,85
les celebrites,155 w. 58th st.,new york city,212-484-5113,french (classic),86
lespinasse,2 e. 55th st.,new york,212/339-6719,american,87
lespinasse (new york city),2 e. 55th st.,new york city,212-339-6719,asian,88
lutece,249 e. 50th st.,new york,212/752-2225,french,89
lutece,249 e. 50th st.,new york city,212-752-2225,french (classic),90
manhattan ocean club,57 w. 58th st.,new york,212/ 371-7777,seafood,91
manhattan ocean club,57 w. 58th st.,new york city,212-371-7777,seafood,92
march,405 e. 58th st.,new york,212/754-6272,american,93
march,405 e. 58th st.,new york city,212-754-6272,american (new),94
mesa grill,102 5th ave.  between 15th and 16th sts.,new york,212/807-7400,american,95
mesa grill,102 fifth ave.,new york city,212-807-7400,southwestern,96
mi cocina,57 jane st.  off hudson st.,new york,212/627-8273,mexican,97
mi cocina,57 jane st.,new york city,212-627-8273,mexican,98
