Total final pairs: 51

All matched pairs (with all columns):
 record1_id  record2_id  final_score  is_match  levenshtein_score  jaro_winkler_score  token_set_ratio_score
          1           2       0.9917      True             0.9855              0.9971                 0.9926
          3           4       0.9090      True             0.8519              0.9704                 0.9048
          7           8       1.0000      True             1.0000              1.0000                 1.0000
          9          10       1.0000      True             1.0000              1.0000                 1.0000
         11          12       1.0000      True             1.0000              1.0000                 1.0000
         13          14       1.0000      True             1.0000              1.0000                 1.0000
         17          18       1.0000      True             1.0000              1.0000                 1.0000
         29          30       1.0000      True             1.0000              1.0000                 1.0000
         33          34       1.0000      True             1.0000              1.0000                 1.0000
         39          40       1.0000      True             1.0000              1.0000                 1.0000
         43          44       1.0000      True             1.0000              1.0000                 1.0000
         47          48       0.9487      True             0.8718              0.9744                 1.0000
         49          50       0.9487      True             0.8718              0.9744                 1.0000
         51          52       0.9487      True             0.8718              0.9744                 1.0000
         53          54       0.9487      True             0.8718              0.9744                 1.0000
         55          56       0.9487      True             0.8718              0.9744                 1.0000
         63          64       0.9487      True             0.8718              0.9744                 1.0000
         65          66       0.9487      True             0.8718              0.9744                 1.0000
         67          68       0.9487      True             0.8718              0.9744                 1.0000
         71          72       0.9487      True             0.8718              0.9744                 1.0000
         75          76       0.9487      True             0.8718              0.9744                 1.0000
         77          78       0.9487      True             0.8718              0.9744                 1.0000
         79          80       0.9487      True             0.8718              0.9744                 1.0000
         83          84       0.9487      True             0.8718              0.9744                 1.0000
         89          90       0.9487      True             0.8718              0.9744                 1.0000
         91          92       0.9487      True             0.8718              0.9744                 1.0000
         93          94       0.9487      True             0.8718              0.9744                 1.0000
          5           6       0.9316      True                NaN              0.8632                 1.0000
         15          16       0.9416      True                NaN              0.8833                 1.0000
         25          26       0.9827      True                NaN              0.9654                 1.0000
         27          28       0.8531      True                NaN              0.8396                 0.8667
         49          65       0.8386      True                NaN              0.8386                    NaN
         50          66       0.8386      True                NaN              0.8386                    NaN
         56          86       0.8360      True                NaN              0.8360                    NaN
         57          58       0.9644      True                NaN              0.9288                 1.0000
         59          60       0.8727      True                NaN              0.8565                 0.8889
         59          95       0.8470      True                NaN              0.8470                    NaN
         61          62       0.9689      True                NaN              0.9378                 1.0000
         69          70       0.9713      True                NaN              0.9425                 1.0000
         72          74       0.8408      True                NaN              0.8408                    NaN
         73          74       0.9636      True                NaN              0.9271                 1.0000
         75          87       0.8503      True                NaN              0.8503                    NaN
         80          82       0.8505      True                NaN              0.8505                    NaN
         81          82       0.9655      True                NaN              0.9310                 1.0000
         83          86       0.8337      True                NaN              0.8337                    NaN
         84          86       0.8594      True                NaN              0.8594                    NaN
         87          88       0.9666      True                NaN              0.9333                 1.0000
         87          89       0.8390      True                NaN              0.8390                    NaN
         95          96       0.8895      True                NaN              0.8700                 0.9091
         97          98       0.9674      True                NaN              0.9349                 1.0000
         21          22       0.8667      True                NaN                 NaN                 0.8667
