name,address,city,phone,category
arnie morton's of chicago,435 s. la cienega blv.,los angeles,310/246-1501,american
arnie morton's of chicago,435 s. la cienega blvd.,los angeles,310-246-1501,steakhouses
art's delicatessen,12224 ventura blvd.,studio city,818/762-1221,american
art's deli,12224 ventura blvd.,studio city,818-762-1221,delis
hotel bel-air,701 stone canyon rd.,bel air,310/472-1211,californian
bel-air hotel,701 stone canyon rd.,bel air,310-472-1211,californian
cafe bizou,14016 ventura blvd.,sherman oaks,818/788-3536,french
cafe bizou,14016 ventura blvd.,sherman oaks,818-788-3536,french bistro
campanile,624 s. la brea ave.,los angeles,213/938-1447,american
campanile,624 s. la brea ave.,los angeles,213-938-1447,californian
chinois on main,2709 main st.,santa monica,310/392-9025,french
chinois on main,2709 main st.,santa monica,310-392-9025,pacific new wave
citrus,6703 melrose ave.,los angeles,213/857-0034,californian
citrus,6703 melrose ave.,los angeles,213-857-0034,californian
fenix,8358 sunset blvd. west,hollywood,213/848-6677,american
fenix at the argyle,8358 sunset blvd.,w. hollywood,213-848-6677,french (new)
granita,23725 w. malibu rd.,malibu,310/456-0488,californian
granita,23725 w. malibu rd.,malibu,310-456-0488,californian
grill on the alley,9560 dayton way,los angeles,310/276-0615,american
grill  the,9560 dayton way,beverly hills,310-276-0615,american (traditional)
restaurant katsu,1972 n. hillhurst ave.,los angeles,213/665-1891,asian
katsu,1972 hillhurst ave.,los feliz,213-665-1891,japanese
l'orangerie,903 n. la cienega blvd.,los angeles,310/652-9770,french
l'orangerie,903 n. la cienega blvd.,w. hollywood,310-652-9770,french (classic)
le chardonnay,8284 melrose ave.,los angeles,213/655-8880,french
