record_id,name,address,city,phone,category,cluster
1,phenix & Co.,8358 sunset blvd. west,hollywood,+1-778-638-6165,american,1
2,phenxi & Co.,8358 sunset blvd. west,hollywood,+1-778-638-6165,american,1
3,fenix & Co.,8358 sunset blvd. west,hollywood,+1-778-638-6165,american,1
4,pheni x& Co.,8358 sunset blvd. west,hollywood,+1-778-638-6165,american,1
5,fenix & Co.,8358 sunset blvd. west,hollywood,+1-778-638-6165,american,1
6,pheinx & Co.,8358 sunset blvd. west,hollywood,+1-778-638-6165,american,1
7,rainbow orom Inc.,30 rockefeller plaza,new york city,+1-485-691-6245,american (new),2
8,rainbow ormo Inc.,30 rockefeller plaza,new york city,+1-485-691-6245,american (new),2
9,rainbow orom Ink.,30 rockefeller plaza,new york city,+1-485-691-6245,american (new),2
10,rainbwo orom Inc.,30 rockefeller plaza,new york city,+1-485-691-6245,american (new),2
11,rainbow orom Ink.,30 rockefeller plaza,new york city,+1-485-691-6245,american (new),2
12,bar anise,1022 3rd ave.  between 60th and 61st sts.,new york,212/355-1112,mediterranean,3
13,abr anise,1022 3rd ave.  between 60th and 61st sts.,new york,212/355-1112,mediterranean,3
14,bar anisek,1022 3rd ave.  between 60th and 61st sts.,new york,212/355-1112,mediterranean,3
15,PENANG SOHOk,109 spring st.  between greene and mercer sts.,new york,+1-320-953-3739,asian,4
16,PENAN GSOHOk,109 spring st.  between greene and mercer sts.,new york,+1-320-953-3739,asian,4
17,bouterin,420 e. 59th st.  off 1st ave.,new york,212/758-0323,french,5
18,buoterin,420 e. 59th st.  off 1st ave.,new york,212/758-0323,french,5
19,bouterink,420 e. 59th st.  off 1st ave.,new york,212/758-0323,french,5
20,buoterin,420 e. 59th st.  off 1st ave.,new york,212/758-0323,french,5
21,bouterink,420 e. 59th st.  off 1st ave.,new york,212/758-0323,french,5
22,bouteirn,420 e. 59th st.  off 1st ave.,new york,212/758-0323,french,5
23,nate 'n' al's Kitchen,414 n. beverly dr.,los angeles,+1-805-658-2149,american,6
24,nat e'n' al's Kitchen,414 n. beverly dr.,los angeles,+1-805-658-2149,american,6
25,nate 'n' al's citchen,414 n. beverly dr.,los angeles,+1-805-658-2149,american,6
26,LA MEDITERRANEE,288 noe st.,san francisco,+1-212-609-0413,mediterranean,7
27,LA MEDITERRANEE,288 noe st.,san francisco,+1-212-609-0413,mediterranean,7
28,LA MEDITERRANEEk,288 noe st.,san francisco,+1-212-609-0413,mediterranean,7
29,LA MEDIETRRANEE,288 noe st.,san francisco,+1-212-609-0413,mediterranean,7
30,LA MEDITERRANEEk,288 noe st.,san francisco,+1-212-609-0413,mediterranean,7
31,LA MEDITERARNEE,288 noe st.,san francisco,+1-212-609-0413,mediterranean,7
32,four seasons,99 e. 52nd st.,new york city,212-754-9494,american (new),8
33,fuor seasons,99 e. 52nd st.,new york city,212-754-9494,american (new),8
34,phour seasons,99 e. 52nd st.,new york city,212-754-9494,american (new),8
35,four saesons,99 e. 52nd st.,new york city,212-754-9494,american (new),8
36,soto Bistro,3330 piedmont rd.,atlanta,+1-353-533-8385,japanese,9
37,soot Bistro,3330 piedmont rd.,atlanta,+1-353-533-8385,japanese,9
38,soto Bistrok,3330 piedmont rd.,atlanta,+1-353-533-8385,japanese,9
39,sot oBistro,3330 piedmont rd.,atlanta,+1-353-533-8385,japanese,9
40,soto Bistrok,3330 piedmont rd.,atlanta,+1-353-533-8385,japanese,9
41,soto iBstro,3330 piedmont rd.,atlanta,+1-353-533-8385,japanese,9
