Total final pairs: 13

All matched pairs (with all columns):
 record1_id  record2_id  final_score  is_match  levenshtein_score  jaro_winkler_score  token_set_ratio_score  graph_score
          1           2       0.9917      True             0.9855              0.9971                 0.9926       0.9855
          3           4       0.9090      True             0.8519              0.9704                 0.9048          NaN
          7           8       1.0000      True             1.0000              1.0000                 1.0000       1.0000
          9          10       1.0000      True             1.0000              1.0000                 1.0000       1.0000
         11          12       1.0000      True             1.0000              1.0000                 1.0000       1.0000
         13          14       1.0000      True             1.0000              1.0000                 1.0000       1.0000
         17          18       1.0000      True             1.0000              1.0000                 1.0000       1.0000
          2          23       0.8013      True                NaN              0.8013                    NaN          NaN
          5           6       0.9316      True                NaN              0.8632                 1.0000          NaN
         15          16       0.9416      True                NaN              0.8833                 1.0000          NaN
         19          20       0.8124      True                NaN              0.8192                 0.8056          NaN
         23          24       0.8274      True                NaN              0.8274                    NaN          NaN
         21          22       0.8667      True                NaN                 NaN                 0.8667          NaN
