record_id,name,address,city,phone,category
1,phenix & Co.,8358 sunset blvd. west,hollywood,-7580,american
2,phenxi & Co.,8358 sunset blvd. west,hollywood,-7580,american
3,fenix & Co.,8358 sunset blvd. west,hollywood,-7580,american
4,pheni x& Co.,8358 sunset blvd. west,hollywood,-7580,american
5,fenix & Co.,8358 sunset blvd. west,hollywood,-7580,american
6,pheinx & Co.,8358 sunset blvd. west,hollywood,-7580,american
7,rainbow orom Inc.,30 rockefeller plaza,new york city,-7420,american (new)
8,rainbow ormo Inc.,30 rockefeller plaza,new york city,-7420,american (new)
9,rainbow orom Ink.,30 rockefeller plaza,new york city,-7420,american (new)
10,rainbwo orom Inc.,30 rockefeller plaza,new york city,-7420,american (new)
11,rainbow orom Ink.,30 rockefeller plaza,new york city,-7420,american (new)
12,bar anise,1022 3rd ave.  between 60th and 61st sts.,new york,212/355-1112,mediterranean
13,abr anise,1022 3rd ave.  between 60th and 61st sts.,new york,212/355-1112,mediterranean
14,bar anisek,1022 3rd ave.  between 60th and 61st sts.,new york,212/355-1112,mediterranean
15,PENANG SOHOk,109 spring st.  between greene and mercer sts.,new york,-5011,asian
16,PENAN GSOHOk,109 spring st.  between greene and mercer sts.,new york,-5011,asian
17,bouterin,420 e. 59th st.  off 1st ave.,new york,212/758-0323,french
18,buoterin,420 e. 59th st.  off 1st ave.,new york,212/758-0323,french
19,bouterink,420 e. 59th st.  off 1st ave.,new york,212/758-0323,french
20,buoterin,420 e. 59th st.  off 1st ave.,new york,212/758-0323,french
21,bouterink,420 e. 59th st.  off 1st ave.,new york,212/758-0323,french
22,bouteirn,420 e. 59th st.  off 1st ave.,new york,212/758-0323,french
23,nate 'n' al's Kitchen,414 n. beverly dr.,los angeles,-3611,american
24,nat e'n' al's Kitchen,414 n. beverly dr.,los angeles,-3611,american
25,nate 'n' al's citchen,414 n. beverly dr.,los angeles,-3611,american
26,LA MEDITERRANEE,288 noe st.,san francisco,-1233,mediterranean
27,LA MEDITERRANEE,288 noe st.,san francisco,-1233,mediterranean
28,LA MEDITERRANEEk,288 noe st.,san francisco,-1233,mediterranean
29,LA MEDIETRRANEE,288 noe st.,san francisco,-1233,mediterranean
30,LA MEDITERRANEEk,288 noe st.,san francisco,-1233,mediterranean
31,LA MEDITERARNEE,288 noe st.,san francisco,-1233,mediterranean
32,four seasons,99 e. 52nd st.,new york city,212-754-9494,american (new)
33,fuor seasons,99 e. 52nd st.,new york city,212-754-9494,american (new)
34,phour seasons,99 e. 52nd st.,new york city,212-754-9494,american (new)
35,four saesons,99 e. 52nd st.,new york city,212-754-9494,american (new)
36,soto Bistro,3330 piedmont rd.,atlanta,-9270,japanese
37,soot Bistro,3330 piedmont rd.,atlanta,-9270,japanese
38,soto Bistrok,3330 piedmont rd.,atlanta,-9270,japanese
39,sot oBistro,3330 piedmont rd.,atlanta,-9270,japanese
40,soto Bistrok,3330 piedmont rd.,atlanta,-9270,japanese
41,soto iBstro,3330 piedmont rd.,atlanta,-9270,japanese
42,tortillas,774 ponce de leon ave. ne,atlanta,404-892-0193,tex-mex
43,trotillas,774 ponce de leon ave. ne,atlanta,404-892-0193,tex-mex
44,tortillask,774 ponce de leon ave. ne,atlanta,404-892-0193,tex-mex
45,tortillas,774 ponce de leon ave. ne,atlanta,404-892-0193,tex-mex
46,tortillask,774 ponce de leon ave. ne,atlanta,404-892-0193,tex-mex
47,alley's end LLC,311 w. 17th st.,new york,-5992,american
48,alley's ned LLC,311 w. 17th st.,new york,-5992,american
49,alley's end LLk,311 w. 17th st.,new york,-5992,american
50,alley's end LLC,311 w. 17th st.,new york,-5992,american
51,alley's end LLk,311 w. 17th st.,new york,-5992,american
52,geogria grille Bistro,2290 peachtree rd.  peachtree square shopping center,atlanta,-6776,american
53,gegoria grille Bistro,2290 peachtree rd.  peachtree square shopping center,atlanta,-6776,american
54,geogria grille Bistrok,2290 peachtree rd.  peachtree square shopping center,atlanta,-6776,american
55,jan's family restaurant & Co.,8424 beverly blvd.,la,-2701,coffee shops
56,jan's family restaurant & oC.,8424 beverly blvd.,la,-2701,coffee shops
57,jan's phamily restaurant & Co.,8424 beverly blvd.,la,-2701,coffee shops
58,jan's family restauran t& Co.,8424 beverly blvd.,la,-2701,coffee shops
59,nobu Kitchen,105 hudson st.,new york city,-8926,japanese
60,nobu Ktichen,105 hudson st.,new york city,-8926,japanese
